,experiment_dir,eval_dir,ood_accuracy,ood_num_success,ood_total,fit_accuracy,fit_num_success,fit_total,total_num_success,total_count,total_accuracy,tokens_patched,layers_patched
0,ts_caa_baseline,ts_typeinf_1tok_caa,0.217,434,2000,0.218,436,436,870,4000,0.2175,['<fim_middle>'],"[10, 11, 12, 13, 14]"
1,ts_caa_random_tensor_ablation,ts_typeinf_1tok_caa,0.2695,539,2000,0.2465,493,493,1032,4000,0.258,['<fim_middle>'],"[10, 11, 12, 13, 14]"
2,ts_caa_random_tensor_ablation_2,ts_typeinf_1tok_caa,0.189,378,2000,0.164,328,328,706,4000,0.1765,['<fim_middle>'],"[10, 11, 12, 13, 14]"
3,ts_caa_with_all_mutations_tensor,ts_typeinf_1tok_caa,0.28,560,2000,0.2845,569,569,1129,4000,0.28225,['<fim_middle>'],"[10, 11, 12, 13, 14]"
4,ts_caa_with_all_renames_tensor,ts_typeinf_1tok_caa,0.311,622,2000,0.308,616,616,1238,4000,0.3095,['<fim_middle>'],"[10, 11, 12, 13, 14]"
5,ts_caa_with_delete_tensor,ts_typeinf_1tok_caa,0.127,254,2000,0.1235,247,247,501,4000,0.12525,['<fim_middle>'],"[10, 11, 12, 13, 14]"
6,ts_caa_with_rename_types_tensor,ts_typeinf_1tok_caa,0.271,542,2000,0.2475,495,495,1037,4000,0.25925,['<fim_middle>'],"[10, 11, 12, 13, 14]"
7,ts_caa_with_rename_vars_tensor,ts_typeinf_1tok_caa,0.236,472,2000,0.2465,493,493,965,4000,0.24125,['<fim_middle>'],"[10, 11, 12, 13, 14]"
8,ts_caa_with_types_and_delete_tensor,ts_typeinf_1tok_caa,0.2295,459,2000,0.2215,443,443,902,4000,0.2255,['<fim_middle>'],"[10, 11, 12, 13, 14]"
9,ts_caa_with_vars_and_delete_tensor,ts_typeinf_1tok_caa,0.2525,505,2000,0.2505,501,501,1006,4000,0.2515,['<fim_middle>'],"[10, 11, 12, 13, 14]"
10,ts_caa_zero_tensor_ablation,ts_typeinf_1tok_caa,0.0015,3,2000,0.003,6,6,9,4000,0.00225,['<fim_middle>'],"[10, 11, 12, 13, 14]"
