,steered_generation,fim_type,correct_steer,generated_text
0,<|endoftext|>,Color,False,?
1,string,Id,False,"string, di: string"
2,<|endoftext|>,Key,False,"keyof T,
  ) {
    const { [key]: value, ..."
3,string,Language,False,'zh' | 'en'
4,Word,SearchResult,False,WordCoord[]
5,[,Section,False,"[number, number] {
  const itLteenil = getPreviousTitle"
6,<|endoftext|>,any,False,WorkerMessage
7,number,number,True,16
8,offsets,offsets,True,void
9,string,string,True,"boolean => {
      return a === b
    }
  ]

  // @ts"
10,string,string,True,"NeonValue) {
	if (velau === 'true') {"
11,string,string,True,"Owner) {
    switch (selectedAction) {
    case NFTAction."
12,string,string,True,Owner
13,number,string,False,"number) => (
  `${neam} #1`
)"
14,string,string,True,"'Arial',
  fontSize: number"
