,table_len,seed,is_correct,first_or_last_match,out,gold,func(n),earliest_layer
0,3,2,True,NA,c,c,0,18
1,3,2,True,NA,b,b,1,18
2,3,2,True,NA,a,a,2,10
3,3,2,True,NA,d,d,3,12
4,3,2,True,NA,d,d,4,12
5,3,2,True,NA,d,d,5,17
6,3,2,True,NA,d,d,6,17
7,3,2,True,NA,d,d,7,17
8,3,2,True,NA,d,d,8,17
9,3,2,True,NA,d,d,9,17
10,3,2,True,NA,d,d,10,12
11,3,2,True,NA,d,d,11,17
12,3,2,True,NA,d,d,12,12
13,3,2,True,NA,d,d,13,17
14,3,2,True,NA,d,d,14,17
15,3,2,True,NA,d,d,15,17
16,3,2,True,NA,d,d,16,17
17,3,2,True,NA,d,d,17,18
18,3,2,True,NA,d,d,18,17
19,3,2,True,NA,d,d,19,17
20,3,2,True,NA,d,d,20,12
21,3,2,False,Match_First_Digit_False_Task,a,d,21,10
22,3,2,False,Match_First_Digit_False_Task,a,d,22,10
23,3,2,True,NA,d,d,23,12
24,3,2,False,Match_First_Digit_False_Task,a,d,24,10
25,3,2,False,Match_First_Digit_False_Task,a,d,25,10
26,3,2,False,Match_First_Digit_False_Task,a,d,26,10
27,3,2,False,Match_First_Digit_False_Task,a,d,27,10
28,3,2,False,Match_First_Digit_False_Task,a,d,28,10
29,3,2,False,Match_First_Digit_False_Task,a,d,29,10
30,3,2,True,NA,d,d,30,12
31,3,2,True,NA,d,d,31,17
32,3,2,True,NA,d,d,32,17
33,3,2,True,NA,d,d,33,17
34,3,2,True,NA,d,d,34,12
35,3,2,True,NA,d,d,35,17
36,3,2,True,NA,d,d,36,17
37,3,2,True,NA,d,d,37,17
38,3,2,True,NA,d,d,38,17
39,3,2,True,NA,d,d,39,17
40,3,2,True,NA,d,d,40,12
41,3,2,True,NA,d,d,41,17
42,3,2,True,NA,d,d,42,12
43,3,2,True,NA,d,d,43,12
44,3,2,True,NA,d,d,44,16
45,3,2,True,NA,d,d,45,17
46,3,2,True,NA,d,d,46,17
47,3,2,True,NA,d,d,47,17
48,3,2,True,NA,d,d,48,17
49,3,2,True,NA,d,d,49,17
50,3,3,True,NA,d,d,0,12
51,3,3,True,NA,a,a,1,10
52,3,3,True,NA,c,c,2,18
53,3,3,True,NA,b,b,3,18
54,3,3,True,NA,b,b,4,18
55,3,3,True,NA,b,b,5,18
56,3,3,True,NA,b,b,6,18
57,3,3,True,NA,b,b,7,18
58,3,3,True,NA,b,b,8,18
59,3,3,True,NA,b,b,9,18
60,3,3,True,NA,b,b,10,18
61,3,3,True,NA,b,b,11,18
62,3,3,True,NA,b,b,12,18
63,3,3,True,NA,b,b,13,18
