,prompt_seed,is_correct,completion,gold,input n,layernum
0,0,True_First,a,e,26,10
1,0,True_First,a,e,28,10
2,0,True_First,d,e,30,10
3,0,True_First,d,e,31,10
4,0,True_First,d,e,32,10
5,0,True_First,d,e,34,10
6,0,True_First,d,e,35,12
7,0,True_First,d,e,36,12
8,0,True_First,d,e,37,12
9,0,True_First,d,e,38,10
10,0,True_First,d,e,39,12
11,0,True_First,c,e,40,18
12,0,True_First,c,e,41,18
13,0,True_First,c,e,42,17
14,0,True_First,c,e,43,18
15,0,True_First,c,e,44,18
16,0,True_First,c,e,46,18
17,0,True_First,c,e,47,18
18,0,True_First,c,e,48,18
19,0,True_First,c,e,49,18
20,1,True_First,d,b,13,12
21,1,True_First,d,b,14,12
22,1,True_First,d,b,16,12
23,1,True_First,d,b,18,12
24,1,True_First,d,b,19,12
25,1,False,a,b,26,10
26,1,False,a,b,28,10
27,1,True_First,a,b,30,10
28,1,True_First,a,b,31,10
29,1,True_First,a,b,32,10
30,1,True_First,a,b,33,10
31,1,True_First,a,b,34,10
32,1,True_First,a,b,35,10
33,1,True_First,a,b,36,10
34,1,True_First,a,b,37,10
35,1,True_First,a,b,38,10
36,1,True_First,a,b,39,10
37,1,True_First,e,b,40,20
38,1,False,a,b,41,10
39,1,True_First,e,b,42,19
40,1,True_Last,a,b,43,10
41,1,True_First,e,b,44,21
42,1,True_First,e,b,45,22
43,1,True_First,e,b,46,21
44,1,True_First,e,b,47,19
45,1,True_First,e,b,48,18
46,1,True_First,e,b,49,18
47,2,False,f,b,14,23
48,2,False,f,b,15,24
49,2,False,a,b,16,10
50,2,False,a,b,18,10
51,2,False,a,b,19,10
52,2,True_First,a,b,21,10
53,2,True_First,a,b,24,10
54,2,True_First,a,b,26,10
55,2,True_First,a,b,27,10
56,2,True_First,a,b,28,10
57,2,True_First,a,b,29,10
58,2,False,a,b,31,10
59,2,True_Last,a,b,32,10
60,2,True_First,e,b,34,22
61,2,True_First,e,b,35,18
62,2,False,f,b,36,24
63,2,True_First,e,b,37,19
64,2,True_First,e,b,38,18
65,2,False,a,b,39,10
66,2,True_First,c,b,40,18
67,2,True_First,c,b,41,18
68,2,True_First,c,b,42,17
69,2,True_First,c,b,43,18
70,2,True_First,c,b,44,18
71,2,True_First,c,b,45,18
72,2,True_First,c,b,46,18
73,2,True_First,c,b,47,18
74,2,True_First,c,b,48,18
75,2,True_First,c,b,49,18
76,3,True_First,e,c,14,18
77,3,True_First,e,c,16,18
78,3,True_First,e,c,18,18
79,3,True_First,b,c,21,18
80,3,True_Last,a,c,24,10
81,3,False,a,c,26,10
82,3,True_First,b,c,27,18
83,3,False,a,c,28,10
84,3,True_First,d,c,30,12
85,3,True_First,d,c,31,12
86,3,True_First,d,c,32,12
87,3,True_First,d,c,33,12
88,3,True_First,d,c,34,12
89,3,True_First,d,c,35,12
90,3,True_First,d,c,36,12
91,3,True_First,d,c,37,12
92,3,True_First,d,c,38,12
93,3,True_First,d,c,39,12
94,3,True_First,a,c,40,10
95,3,True_First,a,c,41,10
96,3,True_First,a,c,42,10
97,3,True_First,a,c,43,10
98,3,True_First,a,c,44,10
99,3,True_First,a,c,45,10
100,3,True_First,a,c,46,10
101,3,True_First,a,c,47,10
102,3,True_First,a,c,48,10
103,3,True_First,a,c,49,10
104,4,False,a,c,16,10
105,4,False,a,c,18,10
106,4,True_First,a,c,20,10
107,4,True_First,a,c,21,10
108,4,True_First,a,c,22,10
109,4,True_First,a,c,23,10
110,4,True_First,a,c,24,10
111,4,True_First,a,c,25,10
112,4,True_First,a,c,26,10
113,4,True_First,a,c,27,10
114,4,True_First,a,c,28,10
115,4,True_First,a,c,29,10
116,4,True_First,f,c,30,18
117,4,True_First,f,c,31,18
118,4,True_First,f,c,32,18
119,4,True_First,f,c,33,18
120,4,True_First,f,c,34,18
121,4,True_First,f,c,35,18
122,4,True_First,f,c,36,18
123,4,True_First,f,c,37,18
124,4,True_First,f,c,38,18
125,4,True_First,f,c,39,18
126,4,True_First,d,c,40,12
127,4,True_First,d,c,41,12
128,4,True_First,d,c,42,12
129,4,True_First,d,c,43,12
130,4,True_First,d,c,44,12
131,4,True_First,d,c,45,17
132,4,True_First,d,c,46,12
133,4,True_First,d,c,47,12
134,4,True_First,d,c,48,17
135,4,True_First,d,c,49,17
136,5,True_Last,d,e,14,10
137,5,True_First,f,e,18,18
138,5,True_First,f,e,19,18
139,5,False,a,e,21,10
140,5,True_Last,d,e,24,10
141,5,False,a,e,26,10
142,5,False,a,e,27,10
143,5,False,a,e,28,10
144,5,False,a,e,29,10
145,5,True_First,a,e,30,10
146,5,True_First,a,e,31,10
147,5,True_First,a,e,32,10
148,5,True_First,a,e,33,10
149,5,True_First,a,e,34,10
150,5,True_First,a,e,35,10
151,5,True_First,a,e,36,10
152,5,True_First,a,e,37,10
153,5,True_First,a,e,38,10
154,5,True_First,a,e,39,10
155,5,True_First,d,e,40,10
156,5,True_First,d,e,41,10
157,5,True_First,d,e,42,10
158,5,True_First,d,e,43,10
159,5,True_First,d,e,44,10
160,5,True_First,d,e,45,10
161,5,True_First,d,e,46,10
162,5,True_First,d,e,47,10
163,5,True_First,d,e,48,10
164,5,True_First,d,e,49,10
165,6,True_First,e,f,31,18
166,6,True_First,e,f,32,18
167,6,True_First,e,f,36,18
168,6,True_First,e,f,38,18
169,6,True_First,a,f,40,10
170,6,True_First,a,f,41,10
171,6,True_First,a,f,42,10
172,6,True_First,a,f,44,10
173,6,True_First,a,f,46,10
174,6,True_First,a,f,48,10
175,6,True_First,a,f,49,10
176,7,True_First,a,b,16,10
177,7,True_First,a,b,17,10
178,7,True_First,a,b,18,10
179,7,True_First,a,b,19,10
180,7,True_First,e,b,22,19
181,7,True_Last,f,b,24,19
182,7,True_First,e,b,25,20
183,7,True_First,e,b,26,18
184,7,True_First,e,b,28,19
185,7,False,c,b,29,18
186,7,True_First,c,b,30,18
187,7,True_First,c,b,31,18
188,7,True_First,c,b,32,18
189,7,True_First,c,b,33,18
190,7,True_First,c,b,34,18
191,7,True_First,c,b,35,18
192,7,True_First,c,b,36,18
193,7,True_First,c,b,37,18
194,7,True_First,c,b,38,18
195,7,True_First,c,b,39,18
196,7,True_First,f,b,40,18
197,7,True_First,f,b,41,18
198,7,True_First,f,b,42,18
199,7,True_First,f,b,43,18
200,7,True_First,f,b,44,18
201,7,True_First,f,b,45,18
202,7,True_First,f,b,46,18
203,7,True_First,f,b,47,18
204,7,True_First,f,b,48,18
205,7,True_First,f,b,49,18
206,8,True_First,f,b,16,22
207,8,True_First,f,b,18,19
208,8,True_First,a,b,21,10
209,8,False,f,b,24,23
210,8,True_First,a,b,26,10
211,8,True_First,a,b,27,10
212,8,True_First,a,b,28,10
213,8,True_First,a,b,29,10
214,8,True_First,c,b,30,18
215,8,True_First,c,b,31,18
216,8,True_First,c,b,32,18
217,8,True_First,c,b,34,18
218,8,True_First,c,b,35,18
219,8,True_First,c,b,36,18
220,8,True_First,c,b,37,18
221,8,True_First,c,b,38,18
222,8,True_First,c,b,39,18
223,8,True_First,e,b,40,21
224,8,True_First,e,b,41,22
225,8,True_First,e,b,42,19
226,8,True_First,e,b,44,21
227,8,True_First,e,b,45,22
228,8,True_First,e,b,46,21
229,8,True_First,e,b,47,21
230,8,True_First,e,b,48,18
231,8,False,f,b,49,18
232,9,True_Last,f,e,13,19
233,9,False,f,e,18,23
234,9,False,f,e,21,18
235,9,True_Last,f,e,23,18
236,9,False,f,e,24,18
237,9,False,f,e,26,23
238,9,False,f,e,27,18
239,9,False,f,e,28,22
240,9,False,f,e,29,18
241,9,True_First,f,e,30,18
242,9,True_First,f,e,31,18
243,9,True_First,f,e,32,18
244,9,True_First,f,e,33,18
245,9,True_First,f,e,34,18
246,9,True_First,f,e,35,18
247,9,True_First,f,e,36,18
248,9,True_First,f,e,37,18
249,9,True_First,f,e,38,18
250,9,True_First,f,e,39,18
251,9,True_First,b,e,40,18
252,9,True_First,b,e,41,18
253,9,True_First,b,e,42,17
254,9,True_First,b,e,43,18
255,9,True_First,b,e,44,18
256,9,True_First,b,e,45,18
257,9,True_First,b,e,46,18
258,9,True_First,b,e,47,18
259,9,True_First,b,e,48,18
260,9,True_First,b,e,49,18
261,10,True_Last,b,c,14,18
262,10,True_First,e,c,16,19
263,10,False,a,c,18,10
264,10,False,a,c,24,10
265,10,False,a,c,26,10
266,10,False,a,c,28,10
267,10,True_First,a,c,30,10
268,10,True_First,a,c,31,10
269,10,True_First,a,c,32,10
270,10,True_First,a,c,34,10
271,10,True_First,a,c,35,10
272,10,True_First,a,c,36,10
273,10,True_First,a,c,37,10
274,10,True_First,a,c,38,10
275,10,True_First,a,c,39,10
276,10,True_First,b,c,40,18
277,10,True_First,b,c,41,18
278,10,True_First,b,c,42,17
279,10,True_Last,a,c,43,10
280,10,True_First,b,c,44,18
281,10,True_First,b,c,45,18
282,10,True_First,b,c,46,18
283,10,True_First,b,c,47,18
284,10,True_First,b,c,48,18
285,10,True_First,b,c,49,18
286,11,True_First,f,c,26,18
287,11,True_First,f,c,28,18
288,11,True_First,e,c,30,18
289,11,True_First,e,c,31,18
290,11,True_First,e,c,32,18
291,11,True_First,e,c,34,21
292,11,True_First,e,c,35,18
293,11,True_First,e,c,36,18
294,11,True_First,e,c,38,18
295,11,True_First,e,c,39,18
296,11,True_First,d,c,40,12
297,11,True_First,d,c,41,12
298,11,True_First,d,c,42,12
299,11,True_First,d,c,43,12
300,11,True_First,d,c,44,12
301,11,True_First,d,c,46,12
302,11,True_First,d,c,47,12
303,11,True_First,d,c,48,12
304,11,True_First,d,c,49,12
305,12,True_Last,d,e,13,12
306,12,True_Last,d,e,23,10
307,12,False,d,e,24,10
308,12,True_First,a,e,26,10
309,12,True_First,a,e,28,10
310,12,True_First,d,e,30,10
311,12,True_First,d,e,31,17
312,12,True_First,d,e,32,10
313,12,True_First,d,e,33,12
314,12,True_First,d,e,34,10
315,12,True_First,d,e,35,12
316,12,True_First,d,e,36,12
317,12,True_First,d,e,37,12
318,12,True_First,d,e,38,10
319,12,True_First,d,e,39,12
320,12,True_First,c,e,40,18
321,12,True_First,c,e,41,18
322,12,True_First,c,e,42,18
323,12,True_First,c,e,43,18
324,12,True_First,c,e,44,18
325,12,True_First,c,e,45,18
326,12,True_First,c,e,46,18
327,12,True_First,c,e,47,18
328,12,True_First,c,e,48,18
329,12,True_First,c,e,49,18
330,13,True_First,f,d,21,19
331,13,True_First,f,d,22,18
332,13,True_First,f,d,24,18
333,13,True_First,f,d,26,18
334,13,True_First,f,d,27,18
335,13,True_First,f,d,28,18
336,13,True_First,e,d,30,18
337,13,True_First,e,d,31,18
338,13,True_First,e,d,32,18
339,13,True_First,e,d,34,19
340,13,True_First,e,d,35,18
341,13,True_First,e,d,36,18
342,13,True_First,e,d,37,18
343,13,True_First,e,d,38,18
344,13,True_First,e,d,39,18
345,13,True_First,b,d,40,18
346,13,True_First,b,d,41,18
347,13,True_First,b,d,42,17
348,13,True_First,b,d,43,18
349,13,True_First,b,d,44,17
350,13,True_First,b,d,45,18
351,13,True_First,b,d,46,18
352,13,True_First,b,d,47,18
353,13,True_First,b,d,48,18
354,13,True_First,b,d,49,18
355,14,False,f,e,18,19
356,14,True_First,a,e,19,10
357,14,False,f,e,26,24
358,14,False,c,e,28,18
359,14,True_First,d,e,30,12
360,14,True_First,d,e,31,12
361,14,True_First,d,e,32,12
362,14,True_First,d,e,33,12
363,14,True_First,d,e,34,12
364,14,True_First,d,e,35,12
365,14,True_First,d,e,36,12
366,14,True_First,d,e,37,12
367,14,True_First,d,e,38,12
368,14,True_First,d,e,39,12
369,14,True_First,c,e,40,18
370,14,True_First,c,e,41,18
371,14,True_First,c,e,42,18
372,14,True_First,c,e,43,18
373,14,True_First,c,e,44,18
374,14,True_First,c,e,46,18
375,14,True_First,c,e,47,18
376,14,True_First,c,e,48,18
377,14,True_First,c,e,49,18
378,15,True_First,c,f,31,18
379,15,True_First,c,f,32,18
380,15,True_First,c,f,35,18
381,15,True_First,c,f,37,18
382,15,True_First,c,f,38,18
383,15,True_First,c,f,39,18
384,15,True_First,d,f,41,12
385,15,True_First,d,f,42,12
386,15,True_First,d,f,46,12
387,15,True_First,d,f,47,12
388,15,True_First,d,f,48,12
389,15,True_First,d,f,49,17
