,prompt_seed,is_correct,completion,gold,input n,layernum
0,0,True_First,l,d,38,18
1,0,True_First,j,d,40,18
2,0,True_First,j,d,41,18
3,0,True_First,j,d,42,18
4,0,True_First,j,d,43,18
5,0,True_Last,e,d,46,21
6,0,True_First,j,d,47,18
7,0,True_First,j,d,48,18
8,0,True_First,j,d,49,18
9,1,True_First,h,k,31,18
10,1,True_First,h,k,35,18
11,1,True_First,h,k,36,18
12,1,True_First,h,k,38,18
13,1,True_First,h,k,39,18
14,1,True_First,j,k,40,18
15,1,True_First,j,k,41,18
16,1,True_First,j,k,42,18
17,1,True_First,j,k,43,18
18,1,True_First,j,k,46,18
19,1,True_First,j,k,47,18
20,1,True_First,j,k,48,18
21,1,True_First,j,k,49,18
22,2,False,a,b,18,10
23,2,False,a,b,31,10
24,2,True_First,l,b,35,18
25,2,False,a,b,36,10
26,2,True_First,l,b,37,18
27,2,True_First,l,b,38,18
28,2,True_First,l,b,39,18
29,2,True_First,i,b,41,19
30,2,True_First,i,b,42,18
31,2,True_Last,l,b,43,18
32,2,True_First,i,b,46,19
33,2,True_First,i,b,47,19
34,2,True_First,i,b,48,18
35,2,True_First,i,b,49,18
36,3,False,a,g,26,10
37,3,True_First,e,g,38,18
38,3,True_First,e,g,39,18
39,3,True_First,l,g,40,18
40,3,True_First,l,g,41,17
41,3,True_First,l,g,42,17
42,3,True_First,l,g,43,18
43,3,True_First,l,g,46,17
44,3,True_First,l,g,48,18
45,3,False,a,g,49,10
46,4,False,m,k,18,18
47,4,False,m,k,19,18
48,4,False,m,k,27,18
49,4,False,m,k,28,21
50,4,False,m,k,29,21
51,4,True_First,d,k,31,17
52,4,True_First,d,k,32,12
53,4,True_First,d,k,36,12
54,4,True_First,d,k,38,12
55,4,True_First,i,k,41,18
56,4,True_First,i,k,42,18
57,4,True_First,i,k,43,18
58,4,True_First,i,k,44,18
59,4,True_First,i,k,46,18
60,4,True_First,i,k,47,18
61,4,True_First,i,k,48,18
62,4,True_First,i,k,49,18
63,5,True_First,a,c,31,10
64,5,True_First,a,c,32,10
65,5,True_First,a,c,34,10
66,5,True_First,a,c,35,10
67,5,True_First,a,c,36,10
68,5,True_First,a,c,37,10
69,5,True_First,a,c,38,10
70,5,True_First,a,c,39,10
71,5,True_First,d,c,40,12
72,5,True_First,d,c,41,12
73,5,True_First,d,c,42,12
74,5,True_First,d,c,43,12
75,5,True_First,d,c,44,12
76,5,True_First,d,c,46,12
77,5,False,g,c,47,18
78,5,False,h,c,48,21
79,5,True_First,d,c,49,12
80,6,False,i,f,38,20
81,6,True_First,h,f,41,18
82,6,True_First,h,f,42,18
83,6,True_First,h,f,47,18
84,6,True_First,h,f,48,18
85,7,False,c,i,31,18
86,7,False,c,i,35,18
87,7,False,c,i,36,18
88,7,False,c,i,38,18
89,7,True_First,m,i,46,18
90,7,True_First,m,i,48,18
91,8,True_First,k,c,31,18
92,8,True_First,k,c,35,18
93,8,True_First,k,c,36,18
94,8,True_First,k,c,38,18
95,8,True_First,k,c,39,18
96,8,True_First,i,c,40,18
97,8,True_First,i,c,41,18
98,8,True_First,i,c,42,18
99,8,True_First,i,c,43,18
100,8,True_First,i,c,45,18
101,8,True_First,i,c,46,18
102,8,True_First,i,c,47,18
103,8,True_First,i,c,48,18
104,8,True_First,i,c,49,18
105,9,True_First,b,e,31,18
106,9,True_First,b,e,38,18
107,9,True_First,a,e,41,10
108,9,True_First,a,e,42,10
109,9,True_First,a,e,47,10
110,9,True_First,a,e,48,10
111,9,True_First,a,e,49,10
112,10,True_First,a,g,31,10
113,10,True_First,a,g,32,10
114,10,True_First,a,g,33,10
115,10,True_First,a,g,34,10
116,10,True_First,a,g,35,10
117,10,True_First,a,g,36,10
118,10,True_First,a,g,37,10
119,10,True_First,a,g,38,10
120,10,True_First,a,g,39,10
121,10,False,a,g,41,10
122,10,True_First,c,g,42,18
123,10,True_First,c,g,43,18
124,10,True_First,c,g,44,18
125,10,True_First,c,g,46,18
126,10,False,a,g,48,10
127,10,False,a,g,49,10
128,12,True_First,h,d,35,18
129,12,True_First,h,d,36,18
130,12,True_First,h,d,37,18
131,12,True_First,h,d,38,18
132,12,True_Last,i,d,47,18
133,12,True_First,a,d,48,10
134,13,True_First,j,h,31,18
135,13,True_First,j,h,34,18
136,13,True_First,j,h,35,18
137,13,True_First,j,h,36,18
138,13,True_First,j,h,38,18
139,13,True_First,j,h,39,18
140,13,True_First,a,h,40,10
141,13,True_First,a,h,41,10
142,13,True_First,a,h,44,10
143,13,True_First,a,h,46,10
144,13,True_First,a,h,48,10
145,13,True_First,a,h,49,10
146,14,True_First,l,d,31,18
147,14,True_First,l,d,38,18
148,14,True_First,l,d,39,18
149,14,True_First,b,d,40,18
150,14,True_First,b,d,41,18
151,14,True_First,b,d,42,18
152,14,True_First,b,d,43,18
153,14,True_First,b,d,46,18
154,14,True_First,b,d,48,18
155,14,True_First,b,d,49,18
156,15,True_First,b,a,38,17
157,15,True_First,j,a,42,18
158,15,True_First,j,a,46,18
159,15,True_First,j,a,47,18
160,16,True_First,h,g,31,18
161,16,True_First,h,g,35,18
162,16,True_First,h,g,38,18
163,17,True_First,c,j,38,18
164,17,True_First,m,j,41,18
165,17,True_First,m,j,42,18
166,17,True_First,m,j,44,18
167,17,True_First,m,j,46,18
168,17,True_First,m,j,47,18
169,17,True_First,m,j,48,18
170,17,True_First,m,j,49,18
171,18,False,a,h,27,10
172,18,False,a,h,28,10
173,18,True_First,f,h,31,18
174,18,True_First,f,h,32,18
175,18,True_First,f,h,34,18
176,18,True_First,f,h,35,18
177,18,True_First,f,h,36,18
178,18,True_First,f,h,37,18
179,18,True_First,f,h,38,18
180,18,True_First,f,h,39,18
181,18,True_First,k,h,40,18
182,18,True_First,k,h,41,18
183,18,True_First,k,h,42,18
184,18,True_First,k,h,43,18
185,18,True_First,k,h,44,18
186,18,True_First,k,h,45,18
187,18,True_First,k,h,46,18
188,18,True_First,k,h,47,18
189,18,True_First,k,h,48,18
190,18,True_First,k,h,49,18
191,19,True_Last,a,h,26,10
192,19,True_First,l,h,31,18
193,19,True_Last,a,h,36,10
194,19,True_First,l,h,38,18
195,19,True_Last,a,h,46,10
196,19,False,a,h,48,10
197,19,False,a,h,49,10
